pheno_id	in_vcf_spelling
PI090578	PI90578
PI090579	PI90579
PI090723	PI90723
PI090760	PI90760
PI090763	PI90763
PI090768	PI90768
PI091073	PI91073
PI091082	PI91082
PI091083	PI91083
PI091089	PI91089
PI091091	PI91091
PI091100	PI91100
PI091100-1	PI91100-1
PI091100-2	PI91100-2
PI091100-3	PI91100-3
PI091100-4	PI91100-4
PI091102	PI91102
PI091103	PI91103
PI091104	PI91104
PI091107	PI91107
PI091108-1	PI91108-1
PI091108-2	PI91108-2
PI091108N	PI91108N
PI091109	PI91109
PI091110	PI91110
PI091110-1	PI91110-1
PI091113	PI91113
PI091114	PI91114
PI091115	PI91115
PI091116	PI91116
PI091117	PI91117
PI091119	PI91119
PI091120	PI91120
PI091120-2	PI91120-2
PI091120-3	PI91120-3
PI091121-1	PI91121-1
PI091121-2	PI91121-2
PI091123	PI91123
PI091124	PI91124
PI091126	PI91126
PI091127	PI91127
PI091129	PI91129
PI091132-2	PI91132-2
PI091132-3	PI91132-3
PI091133	PI91133
PI091138	PI91138
PI091141	PI91141
PI091142	PI91142
PI091144	PI91144
PI091149	PI91149
PI091150	PI91150
PI091151	PI91151
PI091152	PI91152
PI091153	PI91153
PI091153-1	PI91153-1
PI091153-7	PI91153-7
PI091154	PI91154
PI091156	PI91156
PI091159	PI91159
PI091159-4	PI91159-4
PI091159S	PI91159S
PI091160	PI91160
PI091161	PI91161
PI091162	PI91162
PI091163	PI91163
PI091164	PI91164
PI091165	PI91165
PI091166	PI91166
PI091167	PI91167
PI091169	PI91169
PI091171	PI91171
PI091174	PI91174
PI091178	PI91178
PI091178-1	PI91178-1
PI091180	PI91180
PI091340	PI91340
PI091341	PI91341
PI091343	PI91343
PI091346	PI91346
PI091349	PI91349
PI091557	PI91557
PI091559	PI91559
PI091646	PI91646
PI091679	PI91679
PI091684	PI91684
PI091702	PI91702
PI091719	PI91719
PI091725	PI91725
PI091725-2	PI91725-2
PI091725-3	PI91725-3
PI091725-4	PI91725-4
PI091729	PI91729
PI091730	PI91730
PI091730-1	PI91730-1
PI091731	PI91731
PI091731-1	PI91731-1
PI091732-1	PI91732-1
PI091732-2	PI91732-2
PI091733	PI91733
PI091733-1	PI91733-1
PI091734	PI91734
PI091750	PI91750
PI092109	PI92109
PI092460	PI92460
PI092463	PI92463
PI092464	PI92464
PI092465	PI92465
PI092466	PI92466
PI092468	PI92468
PI092469	PI92469
PI092470	PI92470
PI092557	PI92557
PI092560	PI92560
PI092561	PI92561
PI092563	PI92563
PI092565	PI92565
PI092567	PI92567
PI092568	PI92568
PI092569	PI92569
PI092570	PI92570
PI092571	PI92571
PI092572	PI92572
PI092573	PI92573
PI092576	PI92576
PI092577	PI92577
PI092580	PI92580
PI092582	PI92582
PI092583	PI92583
PI092589	PI92589
PI092590	PI92590
PI092592	PI92592
PI092593	PI92593
PI092594	PI92594
PI092595	PI92595
PI092596	PI92596
